,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,year,month,day
0,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,0.13926499032882012,0.2958163204923368,2014,10,13
1,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,0.20696324951644096,0.41351559263861765,2014,12,9
2,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,0.4061895551257253,0.43854665956565475,2015,2,25
3,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,0.14313346228239843,0.25735250606544763,2014,12,9
4,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,0.22823984526112184,0.4054677791585301,2015,2,18
6,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,0.3129593810444874,0.364992011361619,2014,6,27
7,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,0.19922630560928434,0.5361263980117167,2015,1,15
8,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,0.22437137330754348,0.4415645896206876,2015,4,15
9,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,0.34235976789168276,0.4094325107994556,2015,3,12
10,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,0.30754352030947774,0.4896147701047399,2015,4,3
11,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,0.1373307543520309,0.3165276051837387,2014,5,27
12,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,0.22437137330754348,0.7128232439789337,2014,5,28
13,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,0.14506769825918758,0.5655364222735073,2014,10,7
14,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0,0.14313346228239843,0.248476241197704,2015,3,12
15,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,0,0.29400386847195353,0.19817740694715663,2015,1,24
16,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0,0.24564796905222436,0.7909935499141961,2014,7,31
17,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0,0.19148936170212766,0.21592993668264393,2014,5,29
18,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,0.0851063829787234,0.26297414048168527,2014,12,5
19,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0,0.12765957446808512,0.4851766376708681,2015,4,24
20,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,0,0.1508704061895551,0.25616900408308185,2014,5,14
22,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,0,0.31334622823984526,0.37599857979762114,2014,7,3
23,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,0,0.11605415860735009,0.45771939167998105,2014,5,16
24,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,0,0.3056092843326886,0.36771406592106043,2014,11,20
25,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,0,0.0793036750483559,0.2398958518255518,2014,11,3
26,937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1915,0,0.22050290135396516,0.17290963962364636,2014,6,26
27,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,0,0.23984526112185683,0.18995206816971416,2014,12,1
28,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,0,0.17408123791102514,0.3304337534765371,2014,6,24
29,719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,0,0.38878143133462284,0.31806615776081426,2015,3,2
30,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,0,0.37911025145067695,0.1969939049647908,2014,11,10
31,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,0,0.14893617021276595,0.06538848452571158,2014,12,1
32,687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,0.1624758220502901,0.25735250606544763,2014,6,24
33,535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,0,0.18375241779497098,0.26208651399491095,2014,11,10
34,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,1981,0,0.27079303675048355,0.4774838747854902,2014,12,3
35,696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,0.1876208897485493,0.15462453399609444,2014,6,13
36,550000.0,4,1.0,1660,34848,1.0,0,0,1,5,930,730,1933,0,0.2978723404255319,0.6400378720634358,2014,5,28
37,640000.0,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1904,0,0.21470019342359764,0.23959997632996033,2014,12,30
38,240000.0,4,1.0,1220,8075,1.0,0,0,2,7,890,330,1969,0,0.12959381044487428,0.42304278359666253,2015,2,13
39,605000.0,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,1996,0,0.38684719535783363,0.6647138883957631,2014,6,20
40,625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,2000,0,0.3578336557059961,0.29694064737558434,2014,7,15
42,861990.0,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,2014,0,0.581237911025145,0.2951653944020356,2014,7,7
43,685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1922,0,0.18568665377176014,0.11769927214628086,2014,10,28
44,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,0,0.13926499032882012,0.48269128350789986,2014,7,29
45,488000.0,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,2003,0,0.47001934235976783,0.5077815255340553,2014,7,18
46,210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,0,1966,0,0.11760154738878144,0.4845848866796852,2015,3,25
47,785000.0,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,1981,0,0.3984526112185687,0.7712882419078052,2014,7,16
48,450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,0,0.06769825918762089,0.26327001597727673,2015,4,28
50,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,0,0.1102514506769826,0.5155926386176697,2014,9,16
51,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,0,0.26499032882011603,0.5019231907213445,2015,2,17
52,600000.0,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1950,0,0.15280464216634426,0.2029114148766199,2014,12,31
53,585000.0,2,1.75,1980,8550,1.0,0,0,3,7,990,990,1981,0,0.16634429400386846,0.36019882833303746,2015,2,5
54,920000.0,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,0.4081237911025145,0.3165276051837387,2015,3,3
55,885000.0,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,1995,0,0.25725338491295935,0.25735250606544763,2014,5,12
56,292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,2008,0,0.3152804642166344,0.22776495650630213,2014,8,19
57,301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2003,0,0.4003868471953578,0.2425587312858749,2015,4,7
